IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.245.143.48,80,0,false,ORD,North America,Chicago,315,0.00
13.246.201.148,2087,0,false,ORD,North America,Chicago,307,0.00
13.49.84.200,80,0,false,ORD,North America,Chicago,198,0.00
13.245.143.48,8880,0,false,ORD,North America,Chicago,305,0.00
54.232.147.206,2086,0,false,ORD,North America,Chicago,337,0.00
15.228.185.161,443,0,false,ORD,North America,Chicago,352,0.00
13.48.136.135,80,0,false,ARN,Europe,Stockholm,195,0.00
15.228.192.27,443,0,false,ORD,North America,Chicago,350,0.00
15.228.185.161,2083,0,false,ORD,North America,Chicago,374,0.00
54.232.147.206,2052,0,false,ORD,North America,Chicago,376,0.00
15.228.192.27,2053,0,false,ORD,North America,Chicago,358,0.00
15.228.238.38,2095,0,false,ORD,North America,Chicago,350,0.00
18.228.24.74,8880,0,false,ORD,North America,Chicago,337,0.00
15.228.185.161,80,0,false,ORD,North America,Chicago,369,0.00
15.228.193.86,2053,0,false,ORD,North America,Chicago,482,0.00
18.228.7.211,8443,0,false,ORD,North America,Chicago,340,0.00
15.228.238.38,8443,0,false,ORD,North America,Chicago,356,0.00
54.207.45.21,2086,0,false,ORD,North America,Chicago,371,0.00
15.228.192.27,8443,0,false,ORD,North America,Chicago,374,0.00
15.228.185.161,2087,0,false,ORD,North America,Chicago,351,0.00
15.228.193.86,2087,0,false,ORD,North America,Chicago,378,0.00
15.228.185.161,2095,0,false,ORD,North America,Chicago,374,0.00
15.228.185.161,2052,0,false,ORD,North America,Chicago,357,0.00
18.228.24.74,8443,0,false,ORD,North America,Chicago,351,0.00
16.16.162.196,80,0,false,ARN,Europe,Stockholm,197,0.00
54.232.147.206,2082,0,false,ORD,North America,Chicago,351,0.00
54.233.119.172,80,0,false,ORD,North America,Chicago,365,0.00
13.48.177.73,8080,0,false,ORD,North America,Chicago,199,0.00
15.228.193.86,443,0,false,ORD,North America,Chicago,468,0.00
15.228.192.27,8880,0,false,ORD,North America,Chicago,344,0.00
15.228.238.38,2082,0,false,ORD,North America,Chicago,345,0.00
15.228.192.27,2083,0,false,ORD,North America,Chicago,363,0.00
15.228.192.27,80,0,false,ORD,North America,Chicago,421,0.00
54.207.45.21,8443,0,false,ORD,North America,Chicago,346,0.00
13.48.177.73,2082,0,false,ORD,North America,Chicago,197,0.00
15.228.192.27,8080,0,false,ORD,North America,Chicago,363,0.00
15.228.185.161,8080,0,false,ORD,North America,Chicago,364,0.00
18.228.190.91,2087,0,false,ORD,North America,Chicago,355,0.00
15.228.185.161,2082,0,false,ORD,North America,Chicago,355,0.00
15.228.238.38,2096,0,false,ORD,North America,Chicago,365,0.00
52.67.10.183,80,0,false,ORD,North America,Chicago,413,0.00
15.229.12.137,2053,0,false,ORD,North America,Chicago,340,0.00
15.229.12.137,2095,0,false,ORD,North America,Chicago,345,0.00
15.228.193.86,2083,0,false,ORD,North America,Chicago,375,0.00
15.229.12.137,80,0,false,ORD,North America,Chicago,359,0.00
15.228.193.86,2052,0,false,ORD,North America,Chicago,363,0.00
15.228.193.86,80,0,false,ORD,North America,Chicago,365,0.00
54.232.147.206,443,0,false,ORD,North America,Chicago,354,0.00
15.228.238.38,8880,0,false,ORD,North America,Chicago,341,0.00
15.228.185.161,2096,0,false,ORD,North America,Chicago,347,0.00
15.228.192.27,2087,0,false,ORD,North America,Chicago,360,0.00
15.228.185.161,8880,0,false,ORD,North America,Chicago,350,0.00
15.228.192.27,2082,0,false,ORD,North America,Chicago,351,0.00
15.229.12.137,8080,0,false,ORD,North America,Chicago,351,0.00
15.228.193.86,8880,0,false,ORD,North America,Chicago,358,0.00
15.228.185.161,2086,0,false,ORD,North America,Chicago,363,0.00
15.228.193.86,8443,0,false,ORD,North America,Chicago,344,0.00
15.229.12.137,2083,0,false,ORD,North America,Chicago,363,0.00
15.229.12.137,2096,0,false,ORD,North America,Chicago,351,0.00
15.228.192.27,2086,0,false,ORD,North America,Chicago,351,0.00
54.207.127.14,80,0,false,ORD,North America,Chicago,360,0.00
15.228.185.161,8443,0,false,ORD,North America,Chicago,354,0.00
15.228.192.27,2095,0,false,ORD,North America,Chicago,362,0.00
15.228.192.27,2096,0,false,ORD,North America,Chicago,337,0.00
15.228.192.27,2052,0,false,ORD,North America,Chicago,354,0.00
15.228.185.161,2053,0,false,ORD,North America,Chicago,357,0.00
13.247.56.66,443,0,false,ORD,North America,Chicago,305,0.00
13.247.56.66,2087,0,false,ORD,North America,Chicago,313,0.00
15.228.238.38,2052,0,false,ORD,North America,Chicago,359,0.00
13.247.56.66,2096,0,false,ORD,North America,Chicago,312,0.00
13.247.56.66,2086,0,false,ORD,North America,Chicago,311,0.00
54.232.147.206,2053,0,false,ORD,North America,Chicago,359,0.00
54.232.147.206,2083,0,false,ORD,North America,Chicago,350,0.00
54.232.147.206,2095,0,false,ORD,North America,Chicago,364,0.00
54.232.147.206,8880,0,false,ORD,North America,Chicago,356,0.00
54.232.147.206,2096,0,false,ORD,North America,Chicago,364,0.00
