IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
154.40.62.176,34237,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,49901,Kuiper Network Ltd,247,26.54
130.162.155.205,34565,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,398,24.13
88.214.22.200,34237,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,281,22.99
146.56.177.67,61153,TRUE,HK@wxgqlfx,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,604,22.14
193.111.31.83,37294,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,284,20.76
45.66.130.4,42221,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,375,20.73
147.78.245.145,34237,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,309,20.62
146.56.162.244,36969,TRUE,HK@wxgqlfx,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,493,20.30
45.66.128.148,34030,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,307,20.30
103.201.131.170,34236,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,655,19.95
45.159.51.14,34237,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,294,19.73
45.66.128.148,51973,TRUE,HK@wxgqlfx,HK,Asia Pacific,Hong Kong,3258,xTom Pty Ltd,469,19.16
146.56.138.226,38178,TRUE,HK@wxgqlfx,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,755,18.86
146.56.146.8,43265,TRUE,US@wxgqlfx,US,North America,Los Angeles,31898,ORACLE-BMC-31898,686,18.67
167.88.185.60,52096,TRUE,JP@wxgqlfx,JP,Asia Pacific,Osaka,400464,VMISS,273,18.40
45.142.166.79,34237,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,641,17.95
45.66.128.148,50053,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,355,17.83
152.70.253.130,61153,TRUE,HK@wxgqlfx,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,372,17.72
103.150.8.236,36704,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,284,17.56
45.66.128.148,51361,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,294,17.51
85.113.70.29,42449,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,324,17.33
20.243.251.236,56209,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,8075,MICROSOFT-CORP-MSN-AS-BLOCK,330,16.81
152.70.232.251,58474,TRUE,US@wxgqlfx,US,North America,Los Angeles,31898,ORACLE-BMC-31898,668,16.63
109.107.137.22,44004,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,613,15.63
130.162.155.205,45742,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,389,14.74
54.65.210.183,54177,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,16509,AMAZON-02,236,14.21
147.78.244.76,34237,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,328,14.18
45.66.128.148,48388,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,305,14.05
141.98.197.103,55271,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,296,12.73
45.66.129.126,46634,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,317,11.99
103.200.30.138,44004,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,138968,rainbow network limited,219,11.93
146.56.179.20,45790,TRUE,SG@wxgqlfx,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,894,11.28
176.119.150.179,49437,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,273,11.12
103.201.130.155,47290,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,411,10.71
45.66.131.11,54544,TRUE,JP@wxgqlfx,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,343,10.29
