IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.130.156,2083,2083,TRUE,SIN,Asia Pacific,Singapore,141,13.92
8.219.126.240,2096,2096,TRUE,SIN,Asia Pacific,Singapore,71,13.91
47.74.42.111,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,99,13.91
47.245.8.156,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,225,13.91
8.222.154.50,2096,2096,TRUE,SIN,Asia Pacific,Singapore,130,13.91
8.219.251.81,2083,2083,TRUE,SIN,Asia Pacific,Singapore,123,13.91
47.241.209.61,443,443,TRUE,SIN,Asia Pacific,Singapore,60,13.9
8.219.177.205,2087,2087,TRUE,SIN,Asia Pacific,Singapore,105,13.89
8.219.249.148,2083,2083,TRUE,SIN,Asia Pacific,Singapore,88,13.89
8.219.73.21,2087,2087,TRUE,SIN,Asia Pacific,Singapore,106,13.89
47.245.10.77,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,213,13.87
47.236.65.11,2087,2087,TRUE,SIN,Asia Pacific,Singapore,111,13.87
47.245.41.84,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,116,13.87
47.245.10.123,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,196,13.86
8.219.84.102,2096,2096,TRUE,SIN,Asia Pacific,Singapore,111,13.86
8.219.210.64,2087,2087,TRUE,SIN,Asia Pacific,Singapore,126,13.86
8.219.4.122,2087,2087,TRUE,SIN,Asia Pacific,Singapore,90,13.85
8.219.198.34,443,443,TRUE,SIN,Asia Pacific,Singapore,28,13.85
47.236.132.125,2087,2087,TRUE,SIN,Asia Pacific,Singapore,125,13.85
8.222.144.219,2087,2087,TRUE,SIN,Asia Pacific,Singapore,114,13.85
47.236.65.232,2053,2053,TRUE,SIN,Asia Pacific,Singapore,131,13.84
47.236.156.14,2096,2096,TRUE,SIN,Asia Pacific,Singapore,178,13.83
47.245.14.216,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,287,13.82
8.219.167.65,8443,8443,TRUE,SIN,Asia Pacific,Singapore,100,13.82
8.219.40.37,2083,2083,TRUE,SIN,Asia Pacific,Singapore,97,13.82
47.236.158.158,8443,8443,TRUE,SIN,Asia Pacific,Singapore,121,13.79
8.219.161.102,2053,2053,TRUE,SIN,Asia Pacific,Singapore,173,13.79
47.236.244.37,2096,2096,TRUE,SIN,Asia Pacific,Singapore,124,13.79
8.219.103.126,443,443,TRUE,SIN,Asia Pacific,Singapore,90,13.78
8.219.6.157,443,443,TRUE,SIN,Asia Pacific,Singapore,112,13.77
47.236.249.41,8443,8443,TRUE,SIN,Asia Pacific,Singapore,153,13.77
47.76.37.57,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,76,13.77
8.219.113.232,2083,2083,TRUE,SIN,Asia Pacific,Singapore,127,13.77
47.74.34.162,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,120,13.76
47.76.32.108,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,83,13.76
47.236.83.239,8443,8443,TRUE,SIN,Asia Pacific,Singapore,86,13.76
47.74.50.249,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,307,13.76
47.74.27.151,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,145,13.76
8.219.171.6,2096,2096,TRUE,SIN,Asia Pacific,Singapore,112,13.75
47.237.14.233,443,443,TRUE,SIN,Asia Pacific,Singapore,65,13.75
8.219.237.250,2096,2096,TRUE,SIN,Asia Pacific,Singapore,97,13.73
47.236.97.254,2053,2053,TRUE,SIN,Asia Pacific,Singapore,65,13.73
47.245.59.243,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,173,13.72
8.219.152.195,2053,2053,TRUE,SIN,Asia Pacific,Singapore,114,13.72
47.76.80.72,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,45,13.71
8.219.90.32,2096,2096,TRUE,SIN,Asia Pacific,Singapore,100,13.71
47.74.41.87,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,148,13.71
47.91.16.198,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,216,13.7
8.219.193.22,2096,2096,TRUE,SIN,Asia Pacific,Singapore,84,13.7
8.210.156.6,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,68,13.69
8.219.75.44,8443,8443,TRUE,SIN,Asia Pacific,Singapore,127,13.69
47.76.32.108,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,88,13.69
8.219.60.68,8443,8443,TRUE,SIN,Asia Pacific,Singapore,100,13.69
8.219.104.242,443,443,TRUE,SIN,Asia Pacific,Singapore,133,13.69
47.236.11.84,443,443,TRUE,SIN,Asia Pacific,Singapore,101,13.66
47.245.53.50,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,239,13.66
