IP地址,端口,IP段,大洲,国家,城市
193.123.66.187,34501,193.122.0.0/15,AS,AE,Dubai
176.97.66.175,443,176.97.64.0/21,AS,AE,Dubai
217.195.200.153,1,217.195.200.0/23,AS,AE,Dubai
5.44.42.166,2053,5.44.42.0/24,AS,AE,Dubai
159.100.198.106,443,159.100.192.0/20,AS,AE,Dubai
85.237.211.59,8443,85.237.211.0/24,AS,AE,Dubai
77.81.65.9,2053,77.81.65.0/24,AS,AE,N/A
212.192.215.163,443,212.192.214.0/23,AS,AE,N/A
139.185.39.237,48008,139.185.32.0/19,AS,AE,Dubai
194.58.33.138,8443,194.58.33.0/24,AS,AE,N/A
194.58.33.138,2053,194.58.33.0/24,AS,AE,N/A
194.58.33.218,443,194.58.33.0/24,AS,AE,N/A
185.117.72.7,443,185.117.72.0/23,AS,AE,N/A
3.28.18.132,8090,3.28.0.0/15,AS,AE,Dubai
176.97.67.38,443,176.97.64.0/21,AS,AE,Dubai
129.151.128.105,16731,129.151.0.0/16,AS,AE,Masdar City
185.164.163.172,8443,185.164.163.0/24,AS,AE,N/A
194.58.33.194,2053,194.58.33.0/24,AS,AE,N/A
98.98.236.58,15608,98.98.236.0/22,AS,AE,Dubai
94.200.145.146,10012,94.200.0.0/14,AS,AE,Dubai
212.192.215.229,8443,212.192.214.0/23,AS,AE,N/A
139.185.50.5,14594,139.185.32.0/19,AS,AE,Dubai
152.32.181.246,44070,152.32.176.0/21,AS,AE,Dubai
176.97.78.80,2053,176.97.78.0/24,AS,AE,Dubai
212.192.215.7,443,212.192.214.0/23,AS,AE,N/A
217.195.200.138,443,217.195.200.0/23,AS,AE,Dubai
193.123.90.82,12648,193.122.0.0/15,AS,AE,Dubai
139.185.34.131,443,139.185.32.0/19,AS,AE,Dubai
185.164.163.173,8443,185.164.163.0/24,AS,AE,N/A
194.58.33.103,443,194.58.33.0/24,AS,AE,N/A
77.81.65.9,8443,77.81.65.0/24,AS,AE,N/A
38.180.11.201,443,38.180.11.0/24,AS,AE,Dubai
93.115.175.253,443,93.115.175.0/24,AS,AE,N/A
109.61.42.167,6633,109.61.42.0/24,AS,AE,Dubai
217.195.200.52,80,217.195.200.0/23,AS,AE,Dubai
217.195.200.52,443,217.195.200.0/23,AS,AE,Dubai
45.86.228.104,443,45.86.228.0/23,AS,AE,Al Fujairah City
85.237.211.59,2053,85.237.211.0/24,AS,AE,Dubai
194.58.33.194,8443,194.58.33.0/24,AS,AE,N/A
185.106.120.66,443,185.106.120.0/24,AS,AE,N/A
129.151.128.114,34834,129.151.0.0/16,AS,AE,Masdar City
84.235.245.18,34501,84.235.224.0/19,AS,AE,Dubai
193.123.81.105,443,193.122.0.0/15,AS,AE,Dubai
185.164.163.172,2053,185.164.163.0/24,AS,AE,N/A
212.192.215.229,2053,212.192.214.0/23,AS,AE,N/A
45.38.139.175,2053,45.38.139.0/24,EU,AL,Tirana
45.15.170.82,2053,45.15.168.0/22,EU,AL,Tirana
45.38.139.123,8443,45.38.139.0/24,EU,AL,Tirana
103.167.234.131,2053,103.167.234.0/23,EU,AL,Tirana
103.167.234.131,8443,103.167.234.0/23,EU,AL,Tirana
2.56.206.64,443,2.56.204.0/22,AS,AM,Yerevan
45.129.185.99,443,45.129.185.0/24,AS,AM,N/A
45.83.143.225,2053,45.83.140.0/22,AS,AM,Yerevan
213.159.76.175,443,213.159.64.0/20,AS,AM,Yerevan
45.129.185.8,2053,45.129.185.0/24,AS,AM,N/A
195.250.87.42,4443,195.250.64.0/19,AS,AM,Yerevan
194.156.103.31,8443,194.156.102.0/23,AS,AM,N/A
2.56.205.182,2053,2.56.204.0/22,AS,AM,N/A
194.156.103.58,41210,194.156.102.0/23,AS,AM,N/A
2.56.204.246,443,2.56.204.0/22,AS,AM,N/A
45.129.185.174,443,45.129.185.0/24,AS,AM,N/A
194.156.103.26,443,194.156.102.0/23,AS,AM,N/A
2.56.206.114,8443,2.56.204.0/22,AS,AM,Yerevan
2.56.204.156,8080,2.56.204.0/22,AS,AM,N/A
2.56.204.183,443,2.56.204.0/22,AS,AM,N/A
2.56.205.182,8443,2.56.204.0/22,AS,AM,N/A
139.45.214.126,443,139.45.214.0/23,AS,AM,Yerevan
45.129.185.154,2053,45.129.185.0/24,AS,AM,N/A
2.56.206.160,443,2.56.204.0/22,AS,AM,Yerevan
139.45.214.122,443,139.45.214.0/23,AS,AM,Yerevan
213.159.76.202,8443,213.159.64.0/20,AS,AM,Yerevan
213.159.76.202,2053,213.159.64.0/20,AS,AM,Yerevan
178.160.195.187,443,178.160.192.0/18,AS,AM,Yerevan
2.56.206.114,2053,2.56.204.0/22,AS,AM,Yerevan
217.113.25.184,44443,217.113.25.0/24,AS,AM,Yerevan
190.183.61.62,8443,190.183.0.0/16,SA,AR,Corrientes
190.183.61.62,2053,190.183.0.0/16,SA,AR,Corrientes
94.228.169.23,2053,94.228.168.0/23,EU,AT,Vienna
193.233.232.40,8443,193.233.232.0/23,EU,AT,Vienna
193.233.232.82,8443,193.233.232.0/23,EU,AT,Vienna
78.153.130.162,2053,78.153.130.0/24,EU,AT,Vienna
185.217.197.0,2053,185.217.197.0/24,EU,AT,Vienna
193.233.232.82,2053,193.233.232.0/23,EU,AT,Vienna
94.177.8.11,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.228.169.203,2053,94.228.168.0/23,EU,AT,Vienna
147.45.41.213,2053,147.45.40.0/22,EU,AT,Vienna
95.163.153.168,8443,95.163.152.0/23,EU,AT,Vienna
193.233.233.224,2053,193.233.232.0/23,EU,AT,Vienna
45.138.74.51,8443,45.138.74.0/24,EU,AT,Vienna
212.113.119.143,2053,212.113.119.0/24,EU,AT,Vienna
94.228.169.108,443,94.228.168.0/23,EU,AT,Vienna
185.217.197.121,2053,185.217.197.0/24,EU,AT,Vienna
45.138.74.228,443,45.138.74.0/24,EU,AT,Vienna
77.73.131.126,2053,77.73.131.0/24,EU,AT,Vienna
185.217.197.166,443,185.217.197.0/24,EU,AT,Vienna
185.217.197.66,2053,185.217.197.0/24,EU,AT,Vienna
193.233.232.204,8443,193.233.232.0/23,EU,AT,Vienna
94.177.8.122,8443,94.177.8.0/23,EU,AT,Langenzersdorf
147.45.41.12,2053,147.45.40.0/22,EU,AT,Vienna
94.177.8.10,443,94.177.8.0/23,EU,AT,Langenzersdorf
77.73.131.105,2053,77.73.131.0/24,EU,AT,Vienna
46.102.156.144,8443,46.102.156.0/23,EU,AT,Langenzersdorf
185.217.197.69,8443,185.217.197.0/24,EU,AT,Vienna
62.60.239.248,2053,62.60.236.0/22,EU,AT,Vienna
85.208.109.148,8443,85.208.109.0/24,EU,AT,Vienna
45.138.74.75,2053,45.138.74.0/24,EU,AT,Vienna
95.164.1.172,2053,95.164.0.0/21,EU,AT,Vienna
94.228.169.185,2053,94.228.168.0/23,EU,AT,Vienna
94.228.169.225,2053,94.228.168.0/23,EU,AT,Vienna
45.138.74.53,2053,45.138.74.0/24,EU,AT,Vienna
94.228.170.246,8443,94.228.170.0/24,EU,AT,Vienna
94.177.8.23,443,94.177.8.0/23,EU,AT,Langenzersdorf
62.60.239.250,2053,62.60.236.0/22,EU,AT,Vienna
94.177.8.2,443,94.177.8.0/23,EU,AT,Langenzersdorf
152.53.84.52,4443,152.53.84.0/22,EU,AT,N/A
152.53.118.199,2012,152.53.112.0/20,EU,AT,N/A
45.138.74.11,2053,45.138.74.0/24,EU,AT,Vienna
45.138.74.56,2501,45.138.74.0/24,EU,AT,Vienna
212.113.106.234,2053,212.113.106.0/24,EU,AT,Vienna
185.217.197.129,8443,185.217.197.0/24,EU,AT,Vienna
46.102.156.27,2053,46.102.156.0/23,EU,AT,Langenzersdorf
94.177.8.4,443,94.177.8.0/23,EU,AT,Langenzersdorf
95.164.1.95,2053,95.164.0.0/21,EU,AT,Vienna
94.228.170.57,2053,94.228.170.0/24,EU,AT,Vienna
152.53.225.203,2020,152.53.224.0/21,EU,AT,N/A
185.217.197.29,8443,185.217.197.0/24,EU,AT,Vienna
193.233.233.235,2053,193.233.232.0/23,EU,AT,Vienna
193.233.233.227,2053,193.233.232.0/23,EU,AT,Vienna
85.192.42.179,2053,85.192.42.0/24,EU,AT,Vienna
85.192.27.143,2053,85.192.24.0/22,EU,AT,Vienna
94.228.169.165,2053,94.228.168.0/23,EU,AT,Vienna
193.233.233.56,8443,193.233.232.0/23,EU,AT,Vienna
147.45.41.4,8443,147.45.40.0/22,EU,AT,Vienna
78.153.130.13,2053,78.153.130.0/24,EU,AT,Vienna
212.113.119.130,443,212.113.119.0/24,EU,AT,Vienna
45.138.74.56,2010,45.138.74.0/24,EU,AT,Vienna
45.138.74.210,8443,45.138.74.0/24,EU,AT,Vienna
78.153.130.28,2053,78.153.130.0/24,EU,AT,Vienna
147.45.41.155,8443,147.45.40.0/22,EU,AT,Vienna
212.113.106.126,8443,212.113.106.0/24,EU,AT,Vienna
85.192.42.221,2053,85.192.42.0/24,EU,AT,Vienna
193.233.233.75,2053,193.233.232.0/23,EU,AT,Vienna
78.153.130.48,8443,78.153.130.0/24,EU,AT,Vienna
78.153.130.108,2053,78.153.130.0/24,EU,AT,Vienna
193.233.232.30,8443,193.233.232.0/23,EU,AT,Vienna
94.228.169.69,8443,94.228.168.0/23,EU,AT,Vienna
217.194.148.124,2053,217.194.148.0/24,EU,AT,Vienna
94.177.8.5,443,94.177.8.0/23,EU,AT,Langenzersdorf
95.164.1.142,8443,95.164.0.0/21,EU,AT,Vienna
152.53.117.18,2010,152.53.112.0/20,EU,AT,N/A
94.177.8.50,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.228.169.192,443,94.228.168.0/23,EU,AT,Vienna
94.228.169.15,2053,94.228.168.0/23,EU,AT,Vienna
94.228.169.97,443,94.228.168.0/23,EU,AT,Vienna
94.177.8.60,443,94.177.8.0/23,EU,AT,Langenzersdorf
94.228.169.94,8443,94.228.168.0/23,EU,AT,Vienna
195.133.88.88,2053,195.133.88.0/24,EU,AT,Vienna
78.153.130.38,8443,78.153.130.0/24,EU,AT,Vienna
193.233.232.50,2053,193.233.232.0/23,EU,AT,Vienna
94.228.169.105,8443,94.228.168.0/23,EU,AT,Vienna
78.153.130.38,2053,78.153.130.0/24,EU,AT,Vienna
147.45.71.145,2053,147.45.68.0/22,EU,AT,Vienna
94.177.8.26,443,94.177.8.0/23,EU,AT,Langenzersdorf
138.124.90.176,2053,138.124.90.0/23,EU,AT,Vienna
77.73.131.10,2053,77.73.131.0/24,EU,AT,Vienna
