IP地址,端口,机房,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
154.219.5.37,8443,@wxgqlfx,4,4,0,207.82,94.19
94.242.231.0,2087,@wxgqlfx,4,4,0,206.79,93.59
185.159.247.214,2087,@wxgqlfx,4,4,0,207.81,91.59
185.148.104.31,2083,@wxgqlfx,4,4,0,206.45,88.29
205.233.181.178,2096,@wxgqlfx,4,4,0,207.89,83.76
185.18.250.130,2053,@wxgqlfx,4,4,0,208.39,81.89
185.146.173.146,2053,@wxgqlfx,4,4,0,69.57,61.09
45.159.216.204,2087,@wxgqlfx,4,4,0,208.25,40.84
154.83.2.1,2096,@wxgqlfx,4,4,0,208.21,39.53
185.146.173.146,2087,@wxgqlfx,4,4,0,64.04,35.4
23.227.60.72,2087,@wxgqlfx,4,4,0,71.14,21.79
185.146.173.146,2096,@wxgqlfx,4,4,0,69.97,15.78
172.64.109.2,2083,@wxgqlfx,4,4,0,105.35,10.38
